Time,Input1,output1,Input2,output2,Input3,output3,Input4,output4,,
50.9,1.002888914,0.401302411,-0.385472434,-0.154386611,-2.708790819,0.025821781,1.283085352,-0.010650284,,
51,1.388119492,0.436839726,-0.410092351,-0.177939024,1.608254729,-0.024709959,1.949270315,-0.014280244,,
51.1,1.473023653,0.477582832,-0.539525738,-0.201630767,4.70820516,-0.056541898,0.485277557,-0.002303478,,
51.2,1.34976713,0.523582132,-0.668528393,-0.226288027,4.245079792,-0.045584135,-1.509030279,0.012191827,,
51.3,1.013793321,0.572704196,-0.746692898,-0.252732369,0.569362669,-0.000129314,-1.85425812,0.013365182,,
51.4,0.436241755,0.620926096,-0.806567432,-0.281333438,-3.537236771,0.045423304,-0.173138304,-6.56E-05,,
51.5,-0.25896525,0.662566784,-0.897841642,-0.312262408,-4.966925943,0.056600429,1.697188394,-0.013423223,,
51.6,-0.767074335,0.691731281,-0.996522825,-0.345835112,-2.637744585,0.024943429,1.71281445,-0.012110256,,
51.7,-0.812936024,0.7049604,-0.983379774,-0.382226094,1.687629287,-0.025590197,-0.143336412,0.002438461,,
51.8,-0.413644665,0.703217636,-0.723850342,-0.420468647,4.73583896,-0.056757697,-1.842848131,0.014324106,,
51.9,0.086742923,0.691217294,-0.186238697,-0.457484117,4.200060124,-0.04497202,-1.528481117,0.010557915,,
52,0.289921367,0.674168024,0.508304359,-0.48810003,0.485759521,0.000847527,0.456221918,-0.004744274,,
52.1,0.094515958,0.654455777,1.159105301,-0.506344971,-3.596154204,0.046025689,1.942362102,-0.014860162,,
52.2,-0.210655686,0.631101902,1.630700491,-0.507257222,-4.956570122,0.056372606,1.305873914,-0.008734972,,
52.3,-0.22682028,0.602411921,1.945908679,-0.487970409,-2.565952589,0.024057804,-0.757683418,0.006937572,,
52.4,0.142773894,0.569193125,2.236168264,-0.447394043,1.766526707,-0.026463465,-1.993238433,0.015030422,,
52.5,0.543792109,0.535161353,2.576268104,-0.385057697,4.76213381,-0.056957646,-1.050567027,0.006699505,,
52.6,0.461293738,0.503696256,2.84116035,-0.300591464,4.153852985,-0.044347384,1.040172175,-0.008951092,,
52.7,-0.282254107,0.473741491,2.727816077,-0.194884689,0.402019035,0.001824239,1.994203156,-0.014818393,,
52.8,-1.2769241,0.43898201,1.965917826,-0.072509895,-3.654054906,0.04661538,0.768953458,-0.004490644,,
52.9,-1.791141758,0.391916897,0.58098872,0.056528278,-4.944812943,0.056129206,-1.296614543,0.01074582,,
53,-1.368098735,0.330055673,-0.999872414,0.177846123,-2.493435128,0.023165789,-1.945232114,0.014240395,,
53.1,-0.249960148,0.259097865,-2.123477224,0.277038093,1.844924682,-0.027328737,-0.468084941,0.002174055,,
53.2,0.75650335,0.189959256,-2.292262722,0.34542873,4.787082274,-0.057141077,1.520589087,-0.012266973,,
53.3,0.891567934,0.131450767,-1.50675861,0.383768248,4.106471439,-0.043709724,1.847551565,-0.013301661,,
53.4,0.034298643,0.084135702,-0.316009245,0.401204268,0.318164887,0.002800713,0.155495361,0.000200772,,
53.5,-1.217733038,0.040139922,0.496774952,0.409641812,-3.710922507,0.047192135,-1.706487379,0.013484565,,
53.6,-2.043201742,-0.011035457,0.412968759,0.416712299,-4.931657732,0.055870107,-1.703607474,0.012033087,,
53.7,-2.045312267,-0.075390779,-0.466234524,0.42177507,-2.420212705,0.022267244,0.160987894,-0.002567542,,
